name,category,what_you_learn,skills,content
Building Strategic Foresight Capabilities,Business,,"Strategic Planning, Complex Problem Solving, Systems Thinking, Trend Analysis, Emerging Technologies, Strategic Decision-Making, Organizational Strategy, Decision Making, Creativity, Business Strategy, Forecasting, Strategic Thinking, Business Transformation, Sustainable Development, Stakeholder Engagement, Innovation","Today, organizations find themselves dealing with an increasing amount of uncertainty.They are often ill-equipped at responding to disruptive change and find themselves blindsided by ‘unexpected’ landslides in their ecosystems. In order to hold their ground, they need to upgrade their capabilities,  become more agile in adapting to change and drive firm-level, society-level and industry-level change proactively.

This course introduces you to strategic foresight, its main methods and tools and their application in public and private organisations. Foresight allows organisations to get ahead of the curve, pre-emptively catch trends, define more effective and robust policies and drive positive futures.

You will also learn how foresight is an inclusive way of preparing for the future, how to involve a wide set of stakeholders, overcome silo thinking and leverage collective intelligence to advance the status quo. The course is built on over 15 years of benchmarking among leading organisations and leverages on the collective experience of three lecturers, who introduced foresight, strategy, innovation and design thinking to public organisation and in leading private sector companies. 

After completing this course, you will understand the need for strategic foresight, as well as how and where it is used, which benefits it yields and why leading organisations systematically invest in staying on top of the future."
Client Needs and Software Requirements,Computer Science,"Create clear requirements to drive effective software development
Create clear requirements to drive effective software development
Visualize client needs using low-fidelity prototypes
Visualize client needs using low-fidelity prototypes
Maximize the effectiveness of client interactions
Maximize the effectiveness of client interactions
Adapt to changing product requirements
Adapt to changing product requirements","Scope Management, Requirements Management, Requirements Elicitation, Business Requirements, Prioritization, User Story, System Requirements, User Requirements Documents, Agile Software Development, Change Control, Requirements Analysis, Acceptance Testing, Product Requirements, Client Services, Backlogs, Functional Requirement",This course covers practical techniques to elicit and express software requirements from client interactions.
GenerativeAI for Customer Success,Data Science,,"Customer Engagement, LLM Application, AI Personalization, Customer Service, Business Ethics, Business Process Automation, Personalized Service, Generative AI Agents, Client Support, Systems Integration, Customer experience improvement, Information Privacy, Customer Success Management","Did you know that companies using Generative AI in customer success see a significant improvement in customer satisfaction and operational efficiency? Discover how you can leverage this technology to transform your customer success strategies.This short course empowers customer success professionals and managers to enhance their strategies using Generative AI (GenAI) technologies.

By completing this course, you'll be able to apply advanced GenAI tools to streamline your customer support processes, improve customer engagement, and increase overall employee satisfaction the very next day at work.

By the end of this course, you will be able to:

1.Explain how GenAI can be used to improve customer success processes in your organization. 
2.Resolve ethical and data privacy challenges when using GenAI in customer success strategies. 
3.Create a plan to integrate GenAI into your customer success operations. 

This course is unique because it combines theoretical insights with practical applications, including real-world examples and case studies, to provide a comprehensive understanding of GenAI in customer success.

To be successful in this course, you should have a background in customer success, customer service, or a related field, and a basic understanding of AI technologies."
Introduction to Italian Opera,Arts And Humanities,,"Musical Composition, Music, Music Performance, Music History, Performing Arts, Classical Music, Music Theory","This course gives us an introduction to Italian Opera right from its very beginning in Florence, Italy.You will understand how Mozart’s opera is the midpoint of opera. It explores how music tells the audience about the characters' thoughts through musical gestures. It also sheds light on the importance of close listening to understand opera thoroughly."
Cybersecurity Policy for Water and Electricity Infrastructures,Social Sciences,,"Cybersecurity, NIST 800-53, Security Management, Infrastructure Security, System Monitoring, Cyber Security Policies, Cyber Risk, Risk Management Framework, Security Strategy, Cyber Security Strategy","This course will examine the drinking water and electricity infrastructures, and various policies that have been developed to help guide and strengthen their cybersecurity programs.  The drinking water and electricity infrastructures are two of fourteen subsectors comprising what are known as ""lifeline infrastructure"". The 2013 National Infrastructure Protection Plan identifies four lifeline infrastructure sectors: 1) water, 2) energy, 3) transportation, and 4) communications. These sectors are designated ""lifeline"" because many other infrastructures depend upon them.  The drinking water subsector is part of the water sector, and the electricity subsector is part of the energy sector.  Both subsectors are overseen by the Department of Homeland Security National Protection and Programs Directorate which manages the DHS National Infrastructure Protection Program. The NIPP employs a five-step continuous improvement program called the Risk Management Framework. NIPP implementation is overseen by DHS-designated Sector-Specific Agencies staffed by various Federal departments. The Sector-Specific Agencies work in voluntary cooperation with industry representatives to apply the Risk Management Framework and document results in corresponding Sector-Specific Plans.  The program began in 2007 and the most recent Sector-Specific Plans were published in 2016. In February 2013, President Obama issued Executive 13636 directing the National Institute of Standards and Technology to develop a voluntary set of recommendations for strengthening infrastructure cybersecurity measures. EO13636 also asked Federal agencies with regulating authority to make a recommendation whether the NIST Cybersecurity Framework should be made mandatory. The Environmental Protection Agency who is both the SSA and regulatory authority for the drinking water subsector recommended voluntary application of the NIST Cybersecurity Framework. The Department of Energy who is both the SSA and regulatory authority for the electricity subsector replied that it was already implementing the Electricity Subsector Cybersecurity Capability Maturity Model, which indeed was what the NIST Cybersecurity Framework was based on.  The Department of Energy, though, recommended voluntary application of the ES-C2M2. This module will examine both the drinking water and electricity lifeline infrastructure subsectors, and elements and application of the NIST Cybersecurity Framework and ES-C2M2."
Guitar for Beginners,Arts And Humanities,"Identify string names and numbers and read music notation, tablature, chord block diagrams, and fretboard maps
Identify string names and numbers and read music notation, tablature, chord block diagrams, and fretboard maps
Practice picking, finger picking, and strumming patterns
Practice picking, finger picking, and strumming patterns
Play various chords including major and minor triads, open, barre, and pose chords
Play various chords including major and minor triads, open, barre, and pose chords
Read and play a lead sheet
Read and play a lead sheet","Instrumental Music, Music Theory, Music, Musical Composition, Music Performance","Grasp the essentials needed to begin playing acoustic or electric guitar. You'll learn an easy approach to get you playing quickly, through a combination of exploring the instrument, performance technique, and basic music theory.For students who have long thought about picking up the acoustic or electric guitar, this course will provide an easy-access foundation that will get you playing. When first learning guitar, it is important to have the material presented in stages, in an enjoyable way that allows you to grasp the basics of the instrument and music. The course begins simply with the parts of the guitar, the names of the strings, tuning, and technique—whether finger-style or pick. It then explores the basics of music theory with such topics as scales, triads, power chords, and fingering and shapes.

At the end of this course, students will understand the structure, parts, and accessories of the instrument, in addition to an understanding of its basic maintenance. Electric guitar players will learn the operation of their instrument along with basic options for amplification, effect pedals, and sounds. Students will also learn to develop correct technique and apply theory concepts to their playing. They will have the foundational knowledge necessary to pursue most intermediate guitar courses."
Promote the Ethical Use of Data-Driven Technologies,Data Science,"Distinguish between artificial intelligence and data science concepts.
Distinguish between artificial intelligence and data science concepts.
Protect data privacy with ethical and legal standards.
Protect data privacy with ethical and legal standards.
Assess the potential risks of bias.
Assess the potential risks of bias.
Advocate for the importance of risk evaluation in emerging technologies.
Advocate for the importance of risk evaluation in emerging technologies.","Data Security, Emerging Technologies, Diversity Awareness, Artificial Intelligence, Business Ethics, Big Data, Information Privacy, Personally Identifiable Information, Data Ethics, Responsible AI","The greatest risk in emerging technology is the perpetuation of bias in automated technologies dependent upon data sets. Solutions created with racial, gender or demographic bias, whether unintentional or not can perpetuate tragic inequities socially and economically.  This is the first of five courses within the Certified Ethical Emerging Technologist (CEET) professional certificate and it is designed for learners seeking to advocate and promote the ethical use of data-driven technologies. Students will learn what emerging technologies are and how they can be used to create data driven solutions. You will learn types of bias and common ethical theories and how they can be applied to emerging technology, and examine legal and ethical privacy concepts as they relate to technologies such as artificial intelligence, machine learning and data science fields. Throughout the course learners begin to distinguish which types of bias may cause the greatest risk and which principles to apply to strategically respond to ethical considerations."
Security and Authentication,Computer Science,,"Authentications, Role-Based Access Control (RBAC), Application Security, Microsoft Copilot, JSON, Application Programming Interface (API), Authorization (Computing), ASP.NET, Back-End Web Development, Secure Coding, .NET Framework, Encryption, Data Storage, Identity and Access Management, Data Security","This course explores security and authentication in back-end development focusing on ASP.NET Identity, role-based access, and data protection. You’ll learn how to securely manage user authentication, authorization, and encryption, while using Microsoft Copilot to write safe code and protect your APIs.By the end of the course, you will be able to…

Describe the features and functionalities of ASP.NET Identity, role-based access control, and data protection principles

Explain the processes of user registration, token-based authentication, encryption and decryption, and securing API endpoints

Define the importance of role-based access control, the structure and use of JSON Web Tokens (JWT), and best practices for secure data storage

Develop a secure back-end application using Microsoft Copilot, including writing secure code, implementing authentication and authorization, and resolving security issues"
Fostering Engagement in the Age of Digital Distraction,Personal Development,,"Collaboration, Creative Problem-Solving, Education Software and Technology, Innovation, Teamwork, Learning Management Systems, Classroom Management, Motivational Skills","Educators taking this course will explore the effect of peer and colleague collaboration in the Fourth Industrial revolution and understand learners' motivation and how innovative pedagogical approaches increase learner engagement. It also helps educators understand how technology presents an opportunity to increase learner motivation through interactive participation optioned presented to them.At the end of this course, educators will be able to: 

Build a culture for collaboration enabled by technology. 
Design collaborative group tasks to encourage innovation. 
Harness technology for multi-modal content delivery in blended learning. 
Apply gamification in the classroom to improve learner abilities. 
Consider engagement and motivation in assessment design. 
Explore the use of digital tools in formative assessment."
"The Great Sustainability Transition: Global challenges, Local actions",Physical Science And Engineering,,"Environmental Policy, Sustainable Development, Climate Change Mitigation, Climate Change Adaptation, Environment, Pollution Prevention, Biology, Environmental Science, Systems Thinking, Community Organizing, Sustainable Systems","Drastic shifts are needed.  Get the knowledge and skills to take local action.Setting the stage: Why do we care? 

Learn about sustainability and staying with the environmental boundaries of our planet. Understand the effects of growing affluence and population growth, and the key challenges we are facing. By participating in the local action exercises you learn how to influence your direct environment. The activities are diverse, from participating in a citizen science project to having discussions with people on climate change. From determining biodiversity around you, to understanding the environmental impacts of one of your meals.

 

Week 1: Biodiversity 

How much land do we use for feed humanity? And how does meat consumption impact energy flows on the planet? In this first week we will explore how humans have transformed the world around them, and how this impacts other living organisms. We discuss key challenges which drive biodiversity decline, and focus on ways to preserve our biodiversity. As a Local Action, you will explore your local biodiversity and ways to improve and protect it. 

 

Week 2: Climate breakdown 

Why is climate change such an urgent crisis? What are current climate impacts and how much more can we expect? In this second week we will understand the mechanics of climate change and grasp the enormity of the changes being wrought on the planet. We will describe the different gases that contribute to climate change, and which sector they come from across energy and food systems. We will talk about how to address climate change including mitigation, adaptation, and suffering. As a local action, you will discuss climate change openly, constructively and acceptingly with a friend or family member. 

 

Week 3: Pollution
Pollution is everywhere, from air to water, from soils to our bodies. We’ll explore the impacts different pollutants have on the environment and on human health. We will also focus on some of the unexpected effects related to pollution. As a Local Action you will be collecting trash around your home.

 

Week 4: The great transitions 

Why are we continuing to overexploit crucial resources even though we know the devastating long term consequences for our planet? And why don’t we transition our energy and food systems, even though we know they drive climate breakdown? Explore why collective action is so difficult on environmental challenges, but also provide examples were changes were successful. We will discuss fear and hope at a unique time of human civilization.  As a  Local Action you will analyse the footprint of one of your meals."
Suicide Prevention,Personal Development,"Basic facts about suicidal thoughts and behaviors
Basic facts about suicidal thoughts and behaviors
The historical and modern understanding of suicide
The historical and modern understanding of suicide
An overview of different types of prevention and intervention approached for suicide
An overview of different types of prevention and intervention approached for suicide","Demography, Research Methodologies, Public Health, Medical Terminology, Research, Mental Health, Mental Health Diseases and Disorders, Crisis Intervention, Behavioral Health, Epidemiology, Psychotherapy","This course will explore the science of suicide research, prevention, and intervention. The field of suicide research is young and knowledge is rapidly changing. Topics will include terminology, epidemiology, historical and contemporary theories of suicide, modern approaches to suicide research, empirically supported approaches to prevention and intervention, the lived experiences of those with suicidal thoughts and attempts. Note: this course is not designed to address personal experiences with suicidal thoughts, suicide loss, or mental illness nor will it address assessing suicide risk among friends or family members. If you are thinking about suicide or are worried about someone else – please contact your local suicide prevention crisis center as soon as possible. Your life matters and help is available.Each module will include a quiz. The last module’s quiz will be cumulative."
Smart Learning Design,Social Sciences,"Recognize key motivations and trends shaping today’s educational landscape, identify the components of innovation in hybrid teaching environments
Recognize key motivations and trends shaping today’s educational landscape, identify the components of innovation in hybrid teaching environments
Apply the SLD25 method to design teaching and learning activities that effectively and coherently integrate all variables of the hybrid context
Apply the SLD25 method to design teaching and learning activities that effectively and coherently integrate all variables of the hybrid context
Critically evaluate in-person and online learning options when designing the detailed learning events that make up a course
Critically evaluate in-person and online learning options when designing the detailed learning events that make up a course","Interactive Learning, Instructional Design, Blended Learning, Innovation, Learning Strategies","This MOOC is designed for university and school teachers, trainers, and educational decision-makers. Its aim is to provide logical and methodological tools to effectively integrate and enhance digital resources and technologies in classroom-based teaching.How can we design coherent and impactful learning experiences that strike a balance between in-person and online environments, between traditional classrooms and digital platforms? How can we manage the multiplicity of learning contexts made available by today’s ""anytime, anywhere"" paradigm?
The Smart Learning Design 25 (SLD25) model allows us to break down the complexity of the learning process into its core components (learning events) and then reconnect them in a systematic way—enabling the design of engaging and effective teaching interactions aimed at achieving long-lasting learning outcomes. 

This MOOC was produced as part of the Edvance project – Digital Education Hub per la Cultura Digitale Avanzata. The project is funded by the European Union – Next Generation EU, Component 1, Investment 3.4 “Didattica e competenze universitarie avanzate"".

For a wider diffusion of the course, learning materials including texts, infographics, diagrams and videos were translated from Italian to English through Artificial Intelligence software. Therefore they may contain inaccuracies."
Machine Learning and Human Learning,Social Sciences,,"Human Computer Interaction, Artificial Intelligence, Applied Machine Learning, Learning Management Systems, Artificial Intelligence and Machine Learning (AI/ML), Supervised Learning, Natural Language Processing, Mobile Development, Data Mining, AI Personalization, Machine Learning","This course examines the differences between machine and human learning and the ways in which machines can complement human learning. It examines technical definitions of supervised and unsupervised machine learning, as well as broader views of mechanical intelligence able to replicate or exceed human intelligence. The course will also explore practical applications of learning analytics and artificial intelligence in learning management systems and other educational tools and critically interrogate the applications of AI in education. The course is designed to aspiring and current educators, and anyone who is interested in the intersection of human and machine learning, and AI applications in education."
Data and Urban Governance,Social Sciences,,"Computing Platforms, Data-Driven Decision-Making, Information Privacy, Social Sciences, Data Sharing, Big Data, Data Ethics, Political Sciences, Personally Identifiable Information, Policy Analysis, Public Administration, Algorithms, Data Governance, Governance, Data Analysis","Since the beginning of the 2000s, cities have witnessed a massive influx of data, transforming how cities are governed. Data has an impact on how city life is structured, as it influences coalitions, actors, instruments, policies, and forms of regulation.In this MOOC, we will look at this shift more closely: what has the advent of big data done to urban governance? Have platforms disrupted local authorities? How has big data changed local politics? How do we govern using algorithms? What is the place of citizens in the digital city? Is it still possible to be anonymous in the city?

At the end of this course, you will be able to navigate the landscape of urban governance in the digital era, including its myriad actors and instruments; to decipher what drives ongoing transformations in how local governments are structured and operate; to analyze the contemporary changes in municipal service markets; and to understand what is at stake in terms of the creation and implementation of public policies when data comes to town.

This MOOC is offered by the Digital Cities Chair of the Urban School of SciencesPo, funded by La Poste, RTE and the Caisse des Dépôts.

Videos are in creative commons license BY NC"
Discover Best Practice Farming for a Sustainable 2050,Health,,"Water Resource Management, Land Management, Environment and Resource Management, Natural Resource Management, Water Sustainability, Environmental Engineering and Restoration, Climate Change Adaptation, Sustainable Development, Community Development, Environmental Science, Sustainable Technologies","The Discover Best Practice Farming for a Sustainable 2050 Course is based on a clear vision: imagine best practice farming for 2050, start to implement these strategies now, all the while making sure it will still be profitable. At UWA we're doing just that with the Future Farm 2050 Project, set on a mixed-enterprise farm in Western Australia and we want you to learn how it can be done in your part of the world.Although this course is based on agriculture, it's not only about farming.  It is a multi-disciplinary course that addresses a wide range of issues confronting the industry, including rural communities, rural infrastructure and conservation of biodiversity in agriculture.
By completing this course you will understand that feeding and clothing the planet requires a multi-disciplinary approach
and upon completion you will be able to explain best practices of sustainable farming and apply them in new contexts."
"Programming Languages, Part B",Computer Science,,"Ruby (Programming Language), Computer Programming, Other Programming Languages, Programming Principles, Software Design, Software Architecture, Debugging, Data Structures, Functional Design","[As described below, this is Part B of a 3-part course.  Participants should complete Part A first -- Part B ""dives right in"" and refers often to material from Part A.]This course is an introduction to the basic concepts of programming languages, with a strong emphasis on functional programming. The course uses the languages ML, Racket, and Ruby as vehicles for teaching the concepts, but the real intent is to teach enough about how any language “fits together” to make you more effective programming in any language -- and in learning new ones.

This course is neither particularly theoretical nor just about programming specifics -- it will give you a framework for understanding how to use language constructs effectively and how to design correct and elegant programs. By using different languages, you will learn to think more deeply than in terms of the particular syntax of one language. The emphasis on functional programming is essential for learning how to write robust, reusable, composable, and elegant programs. Indeed, many of the most important ideas in modern languages have their roots in functional programming. Get ready to learn a fresh and beautiful way to look at software and how to have fun building it.

The course assumes some prior experience with programming, as described in more detail in the first module of Part A.  Part B assumes successful completion of Part A.

The course is divided into three Coursera courses: Part A, Part B, and Part C.  As explained in more detail in the first module of Part A, the overall course is a substantial amount of challenging material, so the three-part format provides two intermediate milestones and opportunities for a pause before continuing.  The three parts are designed to be completed in order and set up to motivate you to continue through to the end of Part C.  

Week 1 of Part A has a more detailed list of topics for all three parts of the course, but it is expected that most course participants will not (yet!) know what all these topics mean."
"Problems, Algorithms and Flowcharts",Data Science,"In this course you will learn the history of algorithms, discretisation and pseudocode and Euclidean algorithm in pseudocode.
In this course you will learn the history of algorithms, discretisation and pseudocode and Euclidean algorithm in pseudocode.","Pseudocode, Computer Science, Data Structures, Computational Thinking, Algorithms, Program Development","This course is the fourth of eight courses aiming to help you to become confident working with algorithms and data structure. You will learn the history of algorithms, discretisation and pseudocode and Euclidean algorithm in pseudocode."
Communicating Data Insights with Tableau,Data Science,"Identify data storytelling best principles to convey business insights.
Identify data storytelling best principles to convey business insights.
Build interactive dashboards and stories in Tableau.
Build interactive dashboards and stories in Tableau.
Utilize data storytelling design principles to craft a compelling presentation so stakeholders can explore data to build their own insights.
Utilize data storytelling design principles to craft a compelling presentation so stakeholders can explore data to build their own insights.","Tableau Software, Exploratory Data Analysis, Dashboard, Data Storytelling, Presentations, Data Visualization Software, Business Intelligence, Business Reporting, Interactive Data Visualization, Stakeholder Engagement, Data-Driven Decision-Making, Data Presentation, Data Analysis, Storytelling","The Communicating Data Insights with Tableau Course focuses on reporting best practices using Tableau. You will learn how to create interactive dashboards and craft compelling presentations based on your data analysis. This course will also teach you best practices for data storytelling to convey business insights and provide stakeholders with the data to effectively explore and build their own insights.This course is for anyone who is curious about entry-level roles that demand fundamental Tableau skills, such as business intelligence analyst or data reporting analyst roles. It is recommended (but not required) that you have some experience with Tableau Public, but even if you're new to Tableau Public, you can still be successful in this program.

By the end of the course, you will be able to:
-Identify data storytelling best principles to convey business insights.
-Build interactive dashboards and stories in Tableau Public.
-Utilize data storytelling design principles to craft a compelling presentation so stakeholders can explore and disaggregate data to build their own insights."
Planetary Health for Nurses,Health,"Increase nurses’ understanding of the links between impacts of climate change and acute and chronic threats to human health.
Increase nurses’ understanding of the links between impacts of climate change and acute and chronic threats to human health.
Prepare nurses to respond to current and future climate-related health impacts being seen in their practice and educational settings .
Prepare nurses to respond to current and future climate-related health impacts being seen in their practice and educational settings .
Using a personal and professional action plan framework, empower nurses to build resilience and take proactive steps against these climate impacts.
Using a personal and professional action plan framework, empower nurses to build resilience and take proactive steps against these climate impacts.","Environmental Science, Community Health, Public Health, Environmental Issue, Chronic Diseases, Emergency Response, Health Education, Climate Change Adaptation, Nurse Education, Health Disparities, Health Systems, Health Assessment, Infectious Diseases, Nursing","Nurses can play a central role in mitigating and adapting to current and future health threats from climate change. This course provides nurses with tailored information about climate change related stressors and how they impact the health of populations and communities around the world. This course will also provide actionable steps, focused primarily on adaptation, that nurses can take to address and prepare for these health impacts at the individual level, the health-system level, and the community level. Within this course, climate-related health impacts will be discussed utilizing the conceptual framework of planetary health. Planetary health refers to ""the health of human civilization and the state of the natural systems on which it depends"" (Lancet).This course was co-developed by the Yale School of Nursing in collaboration with the Alliance for Nurses for Health Environments and Healthcare Without Harm.

This course can be used by health professionals to earn contact hours for continuing education."
Measuring the Success of a Patient Safety or Quality Improvement Project (Patient Safety VI),Health,"Describe why measurement is important to quality improvement work.
Describe why measurement is important to quality improvement work.
Locate external sources of quality and safety measures and associated performance data.
Locate external sources of quality and safety measures and associated performance data.
Identify those data that are useful for monitoring and evaluating quality improvement projects.
Identify those data that are useful for monitoring and evaluating quality improvement projects.","Data Analysis Software, Performance Measurement, Continuous Quality Improvement (CQI), Value-Based Care, Descriptive Statistics, Data Quality, Data Integration, Patient Safety, Data Analysis, Health Policy, Statistical Inference","How will you know if your patient safety and quality project is meeting its objectives? Peter Drucker once said “What gets measured, gets managed.” In this course, students will learn why measurement is critical to quality improvement work. Equally important, they will learn which data sources provide the most meaningful information and tools for how and where to locate them. Finally, students will learn how to interpret data from their patient safety and quality projects to guide and modify them during implementation to maximize their chances of making a difference for patients."
OpenAI GPTs: Creating Your Own Custom AI Assistants,Data Science,,"Personalized Service, Prompt Engineering, AI Personalization, Verification And Validation, Generative AI, Responsible AI, Productivity Software, Expense Reports, Travel Arrangements, Artificial Intelligence, Scenario Testing, ChatGPT, Expense Management, OpenAI, LLM Application, Test Case","In the era of Generative AI, the demand for personalized and specialized Generative AI assistants is skyrocketing. Large language models like GPTs have demonstrated their remarkable capabilities, but what if you could harness their power to create custom AI assistants tailored to your specific needs? Welcome to the world of custom GPTs, where you can build intelligent systems that understand your domain, speak your language, and solve your unique challenges.This cutting-edge course will guide you through the exciting journey of creating and deploying custom GPTs that cater to diverse industries and applications. Imagine having a virtual assistant that can tackle complex legal document analysis, streamline supply chain logistics, or even assist in scientific research and hypothesis generation. The possibilities are endless!

Throughout the course, you'll delve into the intricacies of building GPTs that can use your documents to answer questions, patterns to create amazing human and AI interaction, and methods for customizing the tone of your GPTs. You'll learn how to design and implement rigorous testing scenarios to ensure your AI assistant's accuracy, reliability, and human-like communication abilities.

Prepare to be amazed as you explore real-world examples built around a GPT for Travel and Business Expense Management. The examples show how a GPT can help users book flights, hotels, and transportation while adhering to company policies and budgets. Additionally, the GPT can help streamline expense reporting and reimbursement processes, ensuring compliance and accuracy.

Whether you're a business leader, entrepreneur, developer, or educator, this course will equip you with the skills to harness the transformative potential of custom GPTs. Unlock new realms of productivity, innovation, and personalized experiences by building AI assistants that truly understand and cater to your unique needs.

Enroll now and join the forefront of AI revolution, where you'll learn to create intelligent systems that not only comprehend but also anticipate and exceed your expectations."
Intermediate Grammar Project,Language Learning,,"Photo/Video Production and Technology, English Language, Multimedia, Content Creation, Writing, Electronic Media, Grammar","If you have taken the three courses in this specialization, you have learned a lot of grammar in the last few months. This will be a big help to your studies or your career. This capstone project will help you process what you've learned and help you remember it forever. You will create a grammar scrapbook of the difficult or interesting English grammatical structures that you studied in the specialization. You will choose a multi-media tool of your choice, such as video or e-book, to showcase proper use of the grammar. You will also give authentic examples of the grammar found in articles, movies, or songs to make the scrapbook interesting. This will be a scrapbook that you can keep with you long after this specialization ends."
Healthcare Data Quality and Governance,Health,,"Data Quality, Data Literacy, Change Control, Data Governance, Health Information Management, Metadata Management, Data Validation, Technical Communication, Data Management, Medical Records, Clinical Data Management","Career prospects are bright for those qualified to work with healthcare data or as Health Information Management (HIM) professionals. Perhaps you work in data analytics but are considering a move into healthcare, or you work in healthcare but are considering a transition into a new role. In either case, Healthcare Data Quality and Governance will provide insight into how valuable data assets are protected to maintain data quality. This serves care providers, patients, doctors, clinicians, and those who carry out the business of improving health outcomes.""Big Data"" makes headlines, but that data must be managed to maintain quality. High-quality data is one of the most valuable assets gathered and used by any business. This holds greater significance in healthcare where the maintenance and governance of data quality directly impact people’s lives. This course will explain how data quality is improved and maintained. You’ll learn why data quality matters, then see how healthcare professionals monitor, manage and improve data quality. You’ll see how human and computerized systems interact to sustain data quality through data governance. You’ll discover how to measure data quality with metadata, tracking data provenance, validating and verifying data, along with a communication framework commonly used in healthcare settings. 

This knowledge matters because high-quality data will be transformed into valuable insights that can save lives, reduce costs, to improve healthcare and make it more accessible and affordable. You will make yourself more of an asset in the healthcare field by what you gain from this course."
Introduction to Automotive Embedded Systems,Data Science,"Recall the architecture and components of automotive embedded systems
Recall the architecture and components of automotive embedded systems
Apply principles of software development to automotive applications
Apply principles of software development to automotive applications
Design a basic embedded system for an automotive application
Design a basic embedded system for an automotive application
Assess the impact of emerging automotive technologies
Assess the impact of emerging automotive technologies","Embedded Systems, Sustainable Technologies, Electronics, Artificial Intelligence, Control Systems, Internet Of Things, Electronic Systems, Systems Integration, Software Development, Reliability, Cybersecurity, Automation","This course is designed to introduce learners to the critical role of embedded systems in automotive technology. Starting with foundational concepts and frameworks, the course progresses through the design, development, and implementation of embedded systems within vehicles. Learners will explore microcontrollers, software development, sensor integration, and the application of these systems to enhance vehicle functionality, safety, and performance. Through real-world examples and case studies, participants will understand how embedded systems are transforming the automotive industry.This course caters to Automotive Engineering Students, Entry-Level Embedded System Engineers, Technology Hobbyists intrigued by Automotive Applications, and Software Developers venturing into the Automotive Field. Whether you're a student delving into automotive technology, an engineer transitioning to embedded systems, or a hobbyist with a keen interest in automotive applications, this course provides a comprehensive introduction to the field.

Participants should possess a basic understanding of programming concepts and be familiar with electronic components. An interest in automotive technology is essential, but no prior experience with embedded systems is required. Whether you're a novice programmer, an electronics enthusiast, or simply fascinated by automotive advancements, this course offers an accessible entry point into the world of embedded systems in automotive engineering.

Throughout this course, learners will explore the functionalities and selection criteria of microcontrollers, essential components in embedded systems. Through a hands-on approach, participants will engage with programming and simulation tools, gaining practical skills applicable to real-world automotive projects. By analyzing case studies showcasing embedded systems in vehicles, participants will gain insights into the evolution and future prospects of automotive technologies, preparing them to contribute effectively in this dynamic field."
Work Smarter with Microsoft Word,Information Technology,"How to create and maintain professional-looking reports, multi-column newsletters, résumés, and business correspondence.
How to create and maintain professional-looking reports, multi-column newsletters, résumés, and business correspondence.
How to manage documents and document collaboration
How to manage documents and document collaboration
How to insert and format text and graphic elements
How to insert and format text and graphic elements
How to manage tables and lists
How to manage tables and lists","Web Content Accessibility Guidelines, Writing, Document Management, Computer Literacy, Microsoft Windows, Microsoft 365, Technical Documentation, Editing, Microsoft Word, Collaborative Software, Productivity Software, Microsoft Office","This course is intended for learners with some experience using Microsoft Windows, who are seeking to build presentation skills with Microsoft Word. To be successful in this course you should have an understanding of the basics of using a Windows-based computer. Experience with printing and using a web browser are an asset, but not required.Knowing how to use Microsoft Office products is essential in any professional setting. Whether you want to expand your expertise to apply for a new role, start your own business, or simply develop a new personal skill this course is for you. 

This course will introduce you to Microsoft 365. You will become familiar with the apps and services included in an Office 365 subscription. If you are familiar with Word’s basic features you can take your skills to the next level. If you are not familiar with Microsoft products or are a beginner you will get the opportunity to develop basic word processing skills. 
 
This course covers the different features of the Word interface, shows you how to create a basic document, and introduces you to Word’s most important tools.

By the end of this course, you should be able to apply the necessary techniques to produce high-quality, professional documents. You will also understand how to create complex documents using tables, charts, references, and various types of illustrations.

This course will help you prepare for Exam MO-100: Microsoft Word (Word and Word 2019). This exam covers the ability to create and maintain professional-looking reports, multi-column newsletters, résumés, and business correspondence. Certification exam candidates are expected to demonstrate the correct application of the principal features of Word and complete tasks independently. You will get an opportunity to hone all these skills in this course."
Automotive Industrial Engineering,Business,"Identify the fundamentals of today’s automotive industry.
Identify the fundamentals of today’s automotive industry.
Explain the core engineering principles behind the automotive sector.
Explain the core engineering principles behind the automotive sector.
Analyze the automotive supply chain and its challenges.
Analyze the automotive supply chain and its challenges.
Apply strategy and operational management in the automotive industry.
Apply strategy and operational management in the automotive industry.","Innovation, Mechanical Engineering, Business Strategy, Operations Management, Business Management, Sustainable Business, Manufacturing Processes, Corporate Strategy, Materials science, Transportation Management, Strategic Planning, Supply Chain Management, Procurement, Industrial Engineering, Logistics, Technology Strategies","In today’s ever-evolving world of the automotive industry, this course stands as a beacon for aspiring engineers and leaders like you. You'll embark on a journey through the history of the automotive industrial sector, unravel some of the current automotive challenges, and absorb crucial engineering concepts. Our curriculum is crafted to provide an in-depth look at supply chain processes, innovative business strategies, and adept management practices. Aiming to provide learners with theoretical knowledge and practical lessons, this course is your stepping stone to success in automotive industrial engineering.This course is designed for managers, team leaders, automotive professionals, business strategists, and individuals interested in the dynamic landscape of the automotive industry. It assumes a basic understanding of automotive concepts and industry fundamentals as a prerequisite for enrollment."
